Area,Frontage,Access Road,Floors,Bedrooms,Bathrooms,Price,Year,Price_Lag_1
30.0,4.5,8.0,2.0,2.0,2.0,3.75,2024,7.5
101.0,9.0,6.0,1.0,3.0,3.0,4.8,2024,3.75
20.0,4.5,6.0,2.0,2.0,2.0,3.45,2024,4.8
72.0,4.5,6.0,5.0,4.0,4.0,9.5,2024,3.45
100.0,5.0,6.0,3.0,3.0,3.0,3.3,2024,9.5
160.0,8.0,13.0,2.0,4.0,4.0,4.55,2024,3.3
62.0,4.5,22.0,2.0,3.0,3.0,2.8,2024,4.55
65.0,6.0,4.0,1.0,2.0,1.0,1.65,2024,2.8
48.0,4.5,4.0,4.0,3.0,4.0,6.2,2024,1.65
30.6,3.0,6.0,3.0,3.0,3.0,6.5,2024,6.2
45.0,4.3,5.0,3.0,3.0,3.0,2.65,2024,6.5
40.0,4.5,4.0,4.0,4.0,3.0,5.6,2024,2.65
24.3,2.38,6.0,3.0,3.0,3.0,7.2,2024,5.6
65.0,4.5,6.0,3.0,4.0,4.0,10.0,2024,7.2
84.0,4.3,8.0,2.0,3.0,2.0,2.45,2024,10.0
135.0,9.0,12.0,3.0,3.0,3.0,7.55,2024,2.45
31.0,3.6,3.0,5.0,4.0,3.0,4.55,2024,7.55
38.1,8.0,6.0,3.0,3.0,3.0,5.5,2024,4.55
60.0,6.0,3.5,4.0,4.0,4.0,8.0,2024,5.5
35.0,4.5,6.0,5.0,3.0,3.0,2.85,2024,8.0
177.0,6.1,6.0,2.0,3.0,4.0,5.46,2024,2.85
100.0,6.0,6.0,2.0,2.0,1.0,2.7,2024,5.46
45.0,4.5,6.0,5.0,4.0,3.0,4.45,2024,2.7
84.0,7.0,10.0,3.0,8.0,6.0,6.5,2024,4.45
80.0,4.5,6.0,3.0,5.0,5.0,6.9,2024,6.5
52.0,4.5,6.0,3.0,1.0,1.0,7.0,2024,6.9
70.0,4.5,6.0,4.0,5.0,3.0,7.5,2024,7.0
58.0,4.5,6.0,3.0,3.0,3.0,6.39,2024,7.5
67.0,4.5,3.0,3.0,3.0,3.0,4.5,2024,6.39
60.0,4.5,6.0,4.0,4.0,3.0,4.5,2024,4.5
64.0,4.5,6.0,3.0,3.0,3.0,8.3,2024,4.5
90.0,4.5,6.0,3.0,3.0,3.0,3.3,2024,8.3
52.0,4.5,6.0,3.0,4.0,3.0,5.3,2024,3.3
38.0,4.5,3.0,4.0,5.0,4.0,4.35,2024,5.3
41.0,4.5,6.0,4.0,5.0,3.0,3.6,2024,4.35
124.0,4.5,6.0,3.0,4.0,2.0,6.3,2024,3.6
92.5,6.0,6.0,3.0,3.0,4.0,6.95,2024,6.3
94.0,5.7,4.0,3.0,3.0,3.0,4.8,2024,6.95
45.5,3.7,6.0,3.0,3.0,3.0,3.25,2024,4.8
35.0,4.0,5.0,4.0,4.0,3.0,6.5,2024,3.25
35.0,4.5,6.0,4.0,3.0,3.0,2.5,2024,6.5
85.0,6.08,4.0,2.0,3.0,2.0,2.55,2024,2.5
60.0,4.0,13.0,5.0,5.0,5.0,8.6,2024,2.55
71.0,4.5,4.0,2.0,2.0,2.0,4.9,2024,8.6
43.0,3.6,4.0,4.0,2.0,3.0,8.65,2024,4.9
39.0,4.6,6.0,4.0,3.0,3.0,10.0,2024,8.65
64.0,5.0,10.0,4.0,4.0,5.0,8.0,2024,10.0
100.0,4.5,6.0,3.0,3.0,3.0,1.7,2024,8.0
88.6,4.5,6.0,3.0,3.0,4.0,9.5,2024,1.7
24.0,4.0,3.0,4.0,2.0,3.0,4.28,2024,9.5
40.0,4.0,6.0,3.0,3.0,3.0,7.0,2024,4.28
52.0,5.0,6.0,4.0,3.0,3.0,4.2,2024,7.0
92.0,5.0,6.0,3.0,4.0,4.0,6.95,2024,4.2
90.0,6.0,30.0,3.0,4.0,4.0,5.95,2024,6.95
102.6,7.0,3.0,1.0,2.0,2.0,5.6,2024,5.95
150.0,7.5,5.5,3.0,4.0,4.0,5.0,2024,5.6
62.0,4.3,6.0,5.0,5.0,3.0,8.9,2024,5.0
180.0,4.5,6.0,3.0,3.0,3.0,10.0,2024,8.9
198.5,9.0,10.0,2.0,4.0,3.0,8.0,2024,10.0
150.0,10.0,6.0,5.0,3.0,3.0,10.0,2024,8.0
31.0,4.5,6.0,3.0,3.0,3.0,2.48,2024,10.0
